Station,Elevation,Latitude,Longitude,RL_GRAV
1,370.20115,48.3794289,-57.1121979,6227.873577
2,377.57545,48.3797951,-57.1134758,6226.274121
3,384.8984667,48.3800774,-57.1147881,6224.523559
4,392.73285,48.3804855,-57.1159668,6222.742097
5,400.10185,48.380867,-57.1173668,6221.059319
6,400.19345,48.380867,-57.1173668,6221.028923
7,404.86815,48.381176,-57.1187668,6219.909682
8,409.1539,48.3810234,-57.1200447,6218.876567
9,414.4862,48.3812599,-57.1213226,6217.680358
10,417.3076,48.3820801,-57.1223297,6217.074088
11,415.0864,48.3827057,-57.1230698,6217.542499
12,409.2107,48.3833885,-57.1238136,6218.744694
13,403.10705,48.3839836,-57.1248779,6219.947448
14,398.6806,48.3842354,-57.126133,6220.89714
15,393.56505,48.3845863,-57.1273537,6222.134743
16,393.56505,48.3845863,-57.1273537,6221.839564
17,387.44695,48.3847809,-57.1286469,6223.414407
18,380.5917,48.3851967,-57.1297531,6225.11783
19,377.54675,48.3851242,-57.1313057,6225.940468
20,374.30745,48.3850174,-57.1327477,6226.728144
21,368.6518,48.3851395,-57.1355209,6228.257618
22,361.9169,48.3851814,-57.1381989,6229.551977
23,358.8208,48.3850021,-57.139492,6229.990791
24,353.578,48.3848305,-57.1408272,6230.855018
25,336.3088,48.3845367,-57.1436539,6234.125711
26,333.9053,48.3841324,-57.144783,6234.532135
27,333.068,48.3836746,-57.1457024,6234.377765
28,409.2107,48.3833885,-57.1238365,6218.448603
