Distance,Grav
0,0.370666685
10.41728421,0.348380999
20.83456842,0.32610077
31.25185263,0.303825999
41.66913683,0.281556686
52.08642104,0.259292831
62.50370525,0.237034433
72.92098946,0.214781492
83.33827367,0.19253401
93.75555788,0.170291984
104.1728421,0.147743341
114.5901263,0.124976806
125.0074105,0.102217557
135.4246947,0.079465596
145.8419789,0.056720922
156.2592631,0.033983536
166.6765473,0.011253436
177.0938315,-0.011469376
187.5111158,-0.0341849
197.9284,-0.056893137
208.3456842,-0.079594087
218.7629684,-0.10228775
229.1802526,-0.124974125
239.5975368,-0.147653213
250.014821,-0.170325014
260.4321052,-0.192989527
270.8493894,-0.215646753
281.2666736,-0.238296692
291.6839578,-0.260939343
302.1012421,-0.283402774
312.5185263,-0.305309022
322.9358105,-0.327190174
333.3530947,-0.349046228
343.7703789,-0.370877184
354.1876631,-0.392683044
364.6049473,-0.414463806
375.0222315,-0.43621947
385.4395157,-0.457950038
395.8567999,-0.479655508
406.2740841,-0.50133588
416.6913683,-0.522991156
427.1086526,-0.544621334
437.5259368,-0.566226414
439.9969349,-0.571347495
450.4142191,-0.591703977
460.8315033,-0.612002634
471.2487875,-0.632243467
481.6660717,-0.652426476
492.0833559,-0.67255166
502.5006401,-0.69261902
512.9179244,-0.709546217
523.3352086,-0.726144714
533.7524928,-0.742659374
544.169777,-0.759090196
554.5870612,-0.775437181
565.0043454,-0.791700328
575.4216296,-0.807879637
578.1885718,-0.812162944
588.605856,-0.828467744
599.0231402,-0.844695221
609.4404244,-0.860845373
619.8577086,-0.876918201
630.2749928,-0.892913706
640.692277,-0.908831886
651.1095612,-0.924672743
661.5268454,-0.940436275
671.9441297,-0.956122484
682.3614139,-0.971731369
692.7786981,-0.987262929
703.1959823,-1.002717166
713.6132665,-1.016924412
724.0305507,-1.027361476
729.1062754,-1.032425654
739.5235596,-1.040080777
749.9408438,-1.047636685
760.358128,-1.055093376
770.7754122,-1.062450852
781.1926964,-1.069709112
791.6099806,-1.076811163
802.0272648,-1.082778352
812.444549,-1.08852184
822.8618333,-1.094041628
833.2791175,-1.099337716
843.6964017,-1.104410102
854.1136859,-1.109258788
864.5309701,-1.113883774
874.9482543,-1.118285059
885.3655385,-1.122462643
895.7828227,-1.126416527
906.2001069,-1.13014671
916.6173911,-1.133653192
927.0346753,-1.136935974
937.4519595,-1.139995056
942.5361386,-1.138927619
952.9534228,-1.137477135
963.370707,-1.135985925
973.7879912,-1.134453991
984.2052754,-1.132881333
994.6225597,-1.13126795
1005.039844,-1.129613842
1015.457128,-1.12791901
1023.049762,-1.126658074
1033.467047,-1.114436761
1043.884331,-1.102132884
1054.301615,-1.089746442
1064.718899,-1.077277434
1075.136183,-1.064725862
1085.553468,-1.052091725
1095.970752,-1.039375023
1106.388036,-1.026575756
1116.80532,-1.013693924
1127.222605,-1.000729527
1136.141257,-0.989564588
1146.558541,-0.982650565
1156.975825,-0.975978699
1167.393109,-0.969300678
1177.810393,-0.962516568
1188.227678,-0.955626371
1198.644962,-0.948630085
1209.062246,-0.941527711
1219.47953,-0.934319248
1229.896815,-0.923271366
1240.314099,-0.909734934
1250.731383,-0.896139797
1261.148667,-0.882485955
1271.565951,-0.868773407
1281.983236,-0.855002155
1292.40052,-0.841172197
1302.817804,-0.827283534
1313.235088,-0.813336166
1323.652372,-0.799330093
1334.069657,-0.785265315
1344.486941,-0.771141832
1354.904225,-0.756959644
1365.321509,-0.74271875
1372.920431,-0.732293655
1383.337715,-0.71722383
1393.754999,-0.702088703
1404.172283,-0.686888276
1414.589568,-0.671622547
1425.006852,-0.656291517
1435.424136,-0.640895186
1445.84142,-0.625433553
1456.258704,-0.60778809
1466.675989,-0.588191377
1477.093273,-0.568545829
1487.510557,-0.548851447
1497.927841,-0.529108231
1508.345125,-0.509316181
1518.76241,-0.489475296
1529.179694,-0.469585577
1539.596978,-0.449647024
1550.014262,-0.429659636
1560.431546,-0.409623414
1570.848831,-0.390337379
1581.266115,-0.371541035
1591.683399,-0.352768599
1602.100683,-0.334020071
1612.517967,-0.315295452
1622.935252,-0.296594741
1633.352536,-0.277917938
1643.76982,-0.259265044
1652.141713,-0.244291897
1662.558997,-0.225310034
1672.976282,-0.206355037
1683.393566,-0.187426907
1693.81085,-0.168375617
1704.228134,-0.148731595
1714.645418,-0.129255989
1725.062703,-0.109948799
1735.479987,-0.090810024
1745.897271,-0.071839666
1756.314555,-0.053037724
1766.73184,-0.034404198
1777.149124,-0.015939088
1787.566408,0.002357606
1797.983692,0.020485884
1808.400976,0.038445746
1818.818261,0.056237192
1829.235545,0.073860222
1839.652829,0.091314836
1850.070113,0.108601033
1860.487397,0.125718815
1870.904682,0.142662216
1881.321966,0.159369646
1891.73925,0.175944712
1902.156534,0.192387413
1912.573818,0.20869775
1922.991103,0.224875723
1933.408387,0.240921331
1943.825671,0.256834575
1954.242955,0.272615455
1964.660239,0.28826397
1970.365348,0.296777908
1980.782632,0.309880992
1991.199916,0.32101431
2001.6172,0.332024437
2012.034484,0.342911373
2022.451769,0.353675119
2032.869053,0.364315674
2043.286337,0.374833038
2053.703621,0.385227211
2064.120905,0.395498193
2074.53819,0.405645985
2083.456842,0.414236032
